항목,설명
RCP_SEQ,일련번호
RCP_NM,메뉴명
RCP_WAY2,조리방법
RCP_PAT2,요리종류
INFO_WGT,중량(1인분)
INFO_ENG,열량
INFO_CAR,탄수화물
INFO_PRO,단백질
INFO_FAT,지방
INFO_NA,나트륨
HASH_TAG,해쉬태그
ATT_FILE_NO_MAIN,이미지경로(소)
ATT_FILE_NO_MK,이미지경로(대)
RCP_PARTS_DTLS,재료정보
MANUAL01,만드는법_01
MANUAL_IMG01,만드는법_이미지_01
MANUAL02,만드는법_02
MANUAL_IMG02,만드는법_이미지_02
MANUAL03,만드는법_03
MANUAL_IMG03,만드는법_이미지_03
MANUAL04,만드는법_04
MANUAL_IMG04,만드는법_이미지_04
MANUAL05,만드는법_05
MANUAL_IMG05,만드는법_이미지_05
MANUAL06,만드는법_06
MANUAL_IMG06,만드는법_이미지_06
MANUAL07,만드는법_07
MANUAL_IMG07,만드는법_이미지_07
MANUAL08,만드는법_08
MANUAL_IMG08,만드는법_이미지_08
MANUAL09,만드는법_09
MANUAL_IMG09,만드는법_이미지_09
MANUAL10,만드는법_10
MANUAL_IMG10,만드는법_이미지_10
MANUAL11,만드는법_11
MANUAL_IMG11,만드는법_이미지_11
MANUAL12,만드는법_12
MANUAL_IMG12,만드는법_이미지_12
MANUAL13,만드는법_13
MANUAL_IMG13,만드는법_이미지_13
MANUAL14,만드는법_14
MANUAL_IMG14,만드는법_이미지_14
MANUAL15,만드는법_15
MANUAL_IMG15,만드는법_이미지_15
MANUAL16,만드는법_16
MANUAL_IMG16,만드는법_이미지_16
MANUAL17,만드는법_17
MANUAL_IMG17,만드는법_이미지_17
MANUAL18,만드는법_18
MANUAL_IMG18,만드는법_이미지_18
MANUAL19,만드는법_19
MANUAL_IMG19,만드는법_이미지_19
MANUAL20,만드는법_20
MANUAL_IMG20,만드는법_이미지_20
RCP_NA_TIP,저감 조리법 TIP
